math12,catholic,faminc8,math8
60.900001525878906,0,6,64.8499984741211
63.470001220703125,0,6,61.970001220703125
59.11000061035156,0,10,68.73999786376953
54.25,0,7,62.04999923706055
65.23999786376953,0,10,64.6500015258789
65.80000305175781,0,11,69.11000061035156
54.029998779296875,0,10,54.18000030517578
41.599998474121094,0,10,44.130001068115234
53.400001525878906,0,3,48.47999954223633
66.4800033569336,0,11,74.29000091552734
62.970001220703125,0,7,62
54.70000076293945,0,9,56.88999938964844
56.709999084472656,0,12,60.619998931884766
60.47999954223633,0,11,70.41999816894531
65.41999816894531,0,8,71.089996337890625
51.20000076293945,0,12,48.63999938964844
55.70000076293945,0,10,57.470001220703125
37.560001373291016,0,11,40.970001220703125
49.56999969482422,0,10,51.0099983215332
45.66999816894531,0,9,50.7599983215332
46.09000015258789,0,11,65.4800033569336
48.369998931884766,0,12,48.900001525878906
39.7400016784668,0,3,39.45000076293945
56.70000076293945,0,8,71.19000244140625
63.540000915527344,0,12,67.0199966430664
64.31999969482422,0,10,65.69000244140625
65.12999725341797,0,11,70.160003662109375
67.5199966430664,0,8,69.62000274658203
52.54999923706055,0,10,58.310001373291016
47.27000045776367,0,10,43.439998626708984
53.66999816894531,0,12,54.56999969482422
48.97999954223633,0,9,41.04999923706055
43.279998779296875,0,11,49.400001525878906
65.68000030517578,0,10,60.45000076293945
36.4900016784668,0,11,40.33000183105469
51.09000015258789,0,8,45.459999084472656
62.630001068115234,0,8,59.72999954223633
42.150001525878906,0,5,37.099998474121094
43.93000030517578,0,10,54.40999984741211
48.72999954223633,0,10,44.5
48.029998779296875,0,7,52.279998779296875
45.650001525878906,0,6,44.439998626708984
53.81999969482422,0,10,51.939998626708984
64.18000030517578,0,9,61.02000045776367
65.05999755859375,0,12,60.290000915527344
43.56999969482422,0,7,42.83000183105469
60.83000183105469,0,10,65.30000305175781
45.189998626708984,0,10,43.790000915527344
52.70000076293945,0,12,58.06999969482422
61.279998779296875,0,11,59.650001525878906
59.220001220703125,0,9,58.66999816894531
58.959999084472656,0,12,63.52000045776367
51.79999923706055,0,11,54.36000061035156
57.97999954223633,0,6,61.060001373291016
39.81999969482422,0,10,48.40999984741211
40.880001068115234,0,12,53.33000183105469
31.360000610351562,0,10,41.380001068115234
54.59000015258789,0,11,46.880001068115234
41.349998474121094,0,11,56.720001220703125
60.7400016784668,0,11,61.33000183105469
46.66999816894531,0,11,45.130001068115234
55.52000045776367,0,11,45.18000030517578
66.61000061035156,0,12,60.970001220703125
66.26000213623047,0,10,55.790000915527344
51.9900016784668,0,11,50.22999954223633
55.61000061035156,0,11,51.869998931884766
43.02000045776367,0,10,45.20000076293945
58.61000061035156,0,10,61.90999984741211
42.81999969482422,0,2,38.56999969482422
62.439998626708984,0,11,53.15999984741211
52.97999954223633,0,11,55.9900016784668
52.040000915527344,0,12,53.83000183105469
48.939998626708984,0,11,45.75
35.77000045776367,0,2,35.560001373291016
63.36000061035156,0,10,67.62000274658203
68.839996337890625,0,12,77.19999694824219
50.560001373291016,0,12,51.83000183105469
42.369998931884766,0,11,39.7599983215332
